material_id,chem_formula,R$_0$,B,Dy_chemenv,num_Dy_chemenvs,Dy_wyckoff,num_Dy_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Dy_sites,num_CN_env,num_charge_states,DyX_coordn,DyO_coordn,mean_coordn_Dy-X,min_coordn_Dy-X,max_coordn_Dy-X,mean_coordn_Dy-O,min_coordn_Dy-O,max_coordn_Dy-O,mean_Dy_charge,min_Dy_charge,max_Dy_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_DyO_BondL
mp-1211233,LiDy6B3O14,1.968574897835676,0.4640539506676896,"Cube, Face-capped octahedron, Square-face capped trigonal prism",3,4e,1,"[2.853586993885099, 5.354527922542163, 3.459591310471364, 2.7342396344235382, 2.305310197807635, 2.85523740965183]",0.167,3.2604155781302713,AB3C6D14,3,3,1,"[6.0, 7.0, 8.0]","[6.0, 7.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,B-Dy-Li-O,0.0,-3.600779786701386,4.7578,4,Monoclinic,2/m,P2_1/c,oxide,Li,,,,,B,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.3673737633487613
mp-1211571,KLiDy2(MoO4)4,2.136130332389801,0.2999787566514797,Dodecahedron with triangular faces - p2345 plane normalized,1,4f,1,[2.135914406180967],0.0,2.135914406180967,ABC2D4E16,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-K-Li-Mo-O,0.017890151770842,-2.528025467663196,3.2809,5,Monoclinic,2/m,C2/c,oxide,"Li, K",,Mo,,,,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.406134404445356
mp-1211595,KDy(MoO4)2,2.0533016334123686,0.39816988444035,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[2.223490626504406],0.0,2.223490626504406,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-K-Mo-O,0.016327285416668,-2.530823942409721,3.4338,4,Triclinic,-1,P-1,oxide,K,,Mo,,,,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.419531608271158
mp-1211619,KDyTiO4,0.3242302103618608,2.2942542170592213,Square-face bicapped trigonal prism,1,4d,1,[4.256853658261902],0.0,4.256853658261902,ABCD4,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Dy-K-O-Ti,0.010841475357141,-3.392538036035713,2.268699999999999,4,Orthorhombic,mmm,Pbcm,oxide,K,,Ti,,,,O,,,Dy,,B > 1,Positive B,2.456562195188022
mp-1211658,KDy(MoO4)2,2.6412345036465785,-0.1989119326182799,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[1.445179328819441],0.0,1.445179328819441,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-K-Mo-O,0.014736185833333,-2.532415041993056,3.2098,4,Monoclinic,2/m,C2/c,oxide,K,,Mo,,,,O,,,Dy,,"B $\in$ [-1, -0.1]",Negative B,2.416185224637433
mp-1211686,KDy(MoO4)2,1.7953662172704934,0.6285161017287928,Square antiprism,1,4c,1,[1.072674124963423],0.0,1.072674124963423,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-K-Mo-O,0.0,-2.5471512278263893,3.5956,4,Orthorhombic,mmm,Pbcn,oxide,K,,Mo,,,,O,,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.3970770299976767
mp-1211772,Li3Dy(NO3)6,2.567367131726127,-0.0652513040673377,Square-face bicapped square antiprism,1,4e,1,[3.4555106583860953],0.0,3.4555106583860953,AB3C6D18,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Dy-Li-N-O,0.0,-1.425532440059524,3.1081,4,Monoclinic,2/m,P2_1/c,nitrate,Li,,,,,,"N, O",,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4882647897368573
mp-1212064,K2DyNb5O15,1.879467033874877,0.5512753767742453,Cuboctahedron,1,2b,1,[0.178073468093837],0.0,0.178073468093837,AB2C5D15,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Dy-K-Nb-O,0.049112675905805,-3.064716880050726,1.8612,4,Tetragonal,4/mmm,P4/mbm,oxide,K,,Nb,,,,"N, O",,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.6470520823932753
mp-1212841,Dy3SbO7,1.9800043401281715,0.4799325020692216,"Cube, Pentagonal bipyramid",2,"4c, 2a",2,"[3.770828436097509, 1.229690796099887]",0.0,2.500259616098698,AB3C7,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,Dy-O-Sb,0.0,-3.426120689545453,2.7960000000000003,3,Orthorhombic,222,C222_1,oxide,,,,,,Sb,"O, S",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.397715254822464
mp-1212884,DyRhO3,0.8151927303936597,1.7734436936194444,Square-face bicapped trigonal prism,1,4c,1,[1.046641352503238],0.0,1.046641352503238,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Dy-O-Rh,0.0,-2.581603258333331,0.8883000000000001,3,Orthorhombic,mmm,Pnma,oxide,,,Rh,,,,O,,,Dy,,B > 1,Positive B,2.4074437315752526
mp-1212931,DyTl(WO4)2,2.3043293788391934,0.0067551070349434,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[2.074234013323769],0.0,2.074234013323769,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Dy-O-Tl-W,0.0,-2.506151887499999,2.917099999999999,4,Monoclinic,2/m,C2/c,oxide,,,W,,Tl,,O,,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.309318516788345
mp-1212984,DyMnFeO5,1.2899361053920118,1.1633939888874552,Square-face bicapped trigonal prism,1,4h,1,[2.449112890405517],0.0,2.449112890405517,ABCD5,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-Fe-Mn-O,0.0,-2.525895946824713,1.146,4,Orthorhombic,mmm,Pbam,oxide,,,"Mn, Fe",,,,O,F,,Dy,,B > 1,Positive B,2.4079067508510104
mp-1212987,DyMg(BO2)5,1.774016760354855,0.6243337113914895,Square-face bicapped square antiprism,1,4e,1,[4.151839708547368],0.0,4.151839708547368,ABC5D10,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,B-Dy-Mg-O,0.000214364779408,-3.102880855147058,6.088900000000001,4,Monoclinic,2/m,P2_1/c,metaborate,,Mg,,,,B,O,,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.529446663177171
mp-1212988,DyAg(WO4)2,2.42689942918513,-0.0293331607213313,Square antiprism,1,2g,1,[1.205532977463027],0.0,1.205532977463027,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Ag-Dy-O-W,0.0,-2.376871139027777,3.1201,4,Monoclinic,2/m,C2/m,oxide,,,"Ag, W",,,,O,,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3958516024415015
mp-1212993,Dy4Al2O9,2.068085272711946,0.3764556201558735,"Face-capped octahedron, Octahedron, Square-face capped trigonal prism",3,4e,1,"[2.6826239130453082, 3.549637237856441, 4.156406729090596, 3.381955897857774]",0.0,3.4426559444625298,A2B4C9,3,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",GGA,Al-Dy-O,0.013586563500005,-3.764472324249995,4.005599999999999,3,Monoclinic,2/m,P2_1/c,oxide,,,,,Al,,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.3731708640107123
mp-1213009,DyTl(MoO4)2,1.7882651023210006,0.6468978768032653,Square antiprism,1,4c,1,[1.028651434355167],0.0,1.028651434355167,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Dy-Mo-O-Tl,0.0,-2.377462187500001,3.2866,4,Orthorhombic,mmm,Pbcn,oxide,,,Mo,,Tl,,O,,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.4046023710484805
mp-1213015,DyMnCrO5,2.45383324101059,-0.0196087270383228,Square-face bicapped trigonal prism,1,4h,1,[2.250696321148914],0.0,2.250696321148914,ABCD5,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Cr-Dy-Mn-O,0.041826645625,-2.686955709012212,0.0563,4,Orthorhombic,mmm,Pbam,oxide,,,"Cr, Mn",,,,"C, O",,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.40485093325767
mp-1213026,DyCrGeO5,2.3869786938797817,0.0951106845942569,Square-face bicapped trigonal prism,1,4h,1,[2.699180462724976],0.0,2.699180462724976,ABCD5,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Cr-Dy-Ge-O,0.005877498749997,-2.836865024583333,2.83,4,Orthorhombic,mmm,Pbam,oxide,,,Cr,,,Ge,"C, O",,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4374030486046574
mp-1213057,Dy2Be2SiO7,1.8113288640511345,0.6665311810949176,Square antiprism,1,4e,1,[1.2527997039329462],0.0,1.2527997039329462,AB2C2D7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-Dy-O-Si,0.0,-3.58398220486111,5.089600000000001,4,Tetragonal,-42m,P-42_1m,oxide,,Be,,,,"B, Si","O, S",,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.4287456995132737
mp-1213060,DyAlGe2O7,1.950113227544921,0.4964589817403866,Square-face monocapped antiprism,1,4e,1,[2.983913940070194],0.0,2.983913940070194,ABC2D7,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Dy-Ge-O,0.022887805227267,-2.874474663106059,3.6402,4,Monoclinic,2/m,P2_1/c,oxide,,,,,Al,Ge,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.4805043627712084
mp-1213085,Dy2MgTiO6,0.7227351485823252,1.943096707023494,Square-face bicapped trigonal prism,1,4e,1,[1.851858195167211],0.0,1.851858195167211,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Dy-Mg-O-Ti,0.0161383775,-3.699462831166665,3.2053,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Ti,,,,O,,,Dy,,B > 1,Positive B,2.454139326249661
mp-1213101,Dy2CoPtO6,0.7266806801090837,1.929983705369462,Square-face bicapped trigonal prism,1,4e,1,[1.390166509916398],0.0,1.390166509916398,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Co-Dy-O-Pt,0.032340547499999,-2.575428754833333,1.767599999999999,4,Monoclinic,2/m,P2_1/c,oxide,,,"Co, Pt",,,,"C, O, P",,,Dy,,B > 1,Positive B,2.450105309357046
mp-1213119,Dy2Cu(SiO3)4,1.6408696450067708,0.8360500447736324,Pentagonal bipyramid,1,2i,1,[3.59645338245074],0.0,3.59645338245074,AB2C4D12,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Cu-Dy-O-Si,0.016040775131575,-3.063813905526325,1.1438,4,Triclinic,-1,P-1,oxide,,,Cu,,,Si,"C, O, S",,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.3630383307075067
mp-1213120,Dy2(MoO4)3,2.072713772837963,0.2760194005826659,Square-face capped trigonal prism,1,4e,1,[2.7994475003931303],0.0,2.7994475003931303,A2B3C12,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Dy-Mo-O,0.0,-2.6565206872549023,3.5810999999999997,3,Tetragonal,-42m,P-42_1m,oxide,,,Mo,,,,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.310117066022079
mp-1213126,DyGaGe2O7,1.8480265495496049,0.5913194921074706,Tricapped triangular prism (three square-face caps),1,4e,1,[2.82711225738581],0.0,2.82711225738581,ABC2D7,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",GGA,Dy-Ga-Ge-O,0.030121355045456,-2.604064475833333,3.3061,4,Monoclinic,2/m,P2_1/c,oxide,,,,,Ga,Ge,O,,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.485427215838273
mp-1213163,Dy2(MoO4)3,2.407239318520576,-0.0141490547371778,Square-face bicapped trigonal prism,1,4f,1,[2.216457066497678],0.0,2.216457066497678,A2B3C12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-Mo-O,0.020965903529411,-2.635554783725489,3.2159,3,Monoclinic,2/m,C2/c,oxide,,,Mo,,,,O,,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3875947290319615
mp-1213187,Dy2Mo4O15,2.1963818077773825,0.1198767879466686,Square-face capped trigonal prism,1,4e,1,[2.408013046187297],0.0,2.408013046187297,A2B4C15,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Dy-Mo-O,0.0,-2.520972093015871,3.315699999999999,3,Monoclinic,2/m,P2_1/c,oxide,,,Mo,,,,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.300304850980706
mp-1213197,Dy2NiRuO6,0.9491723893170032,1.669757408070573,Square-face bicapped trigonal prism,1,4e,1,[1.308370347569384],0.0,1.308370347569384,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-Ni-O-Ru,0.032721849499996,-2.650716669833332,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ni, Ru",,,,"N, O",,,Dy,,B > 1,Positive B,2.43125744996453
mp-1213218,Dy2Cu(GeO4)2,1.878118674896984,0.5591125758134736,Square antiprism,1,2b,1,"[2.133825568981775, 1.835424595859898]",0.0,1.9846250824208365,AB2C2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Cu-Dy-Ge-O,0.021076719615379,-2.712502619871793,0.680099999999999,4,Monoclinic,m,Cm,oxide,,,Cu,,,Ge,"C, O",,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.4392002016319076
mp-1213230,Dy2(MoO4)3,2.023511416895313,0.3728870445911986,Square-face capped trigonal prism,1,4c,1,"[3.323083787482429, 3.407019323536558]",0.0,3.3650515555094938,A2B3C12,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-Mo-O,0.000588586323528,-2.655932100931372,3.5777,3,Orthorhombic,mm2,Pba2,oxide,,,Mo,,,,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.3375945207049957
mp-1213234,DySbO4,1.881777433088644,0.5783488832094321,"Square antiprism, Square-face capped trigonal prism",2,2i,1,"[3.917637415371996, 3.752803987136396]",0.0,3.8352207012541957,ABC4,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",r2SCAN,Dy-O-Sb,0.0,-2.866834643194442,2.3553,3,Triclinic,-1,P-1,oxide,,,,,,Sb,"O, S",,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.375198351558857
mp-1213462,Dy7BP2O17,2.03697688821178,0.3973805482972891,"Cube, Square antiprism, Bicapped octahedron (cap faces with one atom in common), Square-face capped trigonal prism",4,4e,1,"[3.5143693499452953, 2.044464680356053, 3.639324304345796, 6.03739627367383, 5.228860295793885, 3.382780619004428, 2.8113155311567493]",0.286,3.8083587220394333,AB2C7D17,4,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,B-Dy-O-P,0.026668008611109,-3.666242039263668,4.799099999999999,4,Monoclinic,2/m,P2_1/c,oxide,,,,,,B,"O, P",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.4035561651253095
mp-1213479,Dy2Cu(WO4)4,2.3828471099688207,-0.0501130646467701,Square-face capped trigonal prism,1,4f,1,[2.435621531359767],0.0,2.435621531359767,AB2C4D16,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Cu-Dy-O-W,0.037823558315222,-2.482997972971012,0.0,4,Monoclinic,2/m,C2/c,oxide,,,"Cu, W",,,,"C, O",,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3337129492679787
mp-1213681,CsDy(WO4)2,2.291316947511645,0.0456552405840227,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[2.5791372535794723],0.0,2.5791372535794723,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Cs-Dy-O-W,0.0,-2.645444619276818,3.4395,4,Monoclinic,2/m,C2/c,oxide,Cs,,W,,,,"C, O",,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3246886693504307
mp-1214541,Ba6Dy2Al4O15,3.0328441308573946,-1.0884165729648838,Octahedron,1,4g,1,[0.406068298677194],0.0,0.406068298677194,A2B4C6D15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",r2SCAN,Al-Ba-Dy-O,0.0,-3.41384142345679,3.928,4,Monoclinic,2/m,P2/c,oxide,,Ba,,,Al,B,O,,,Dy,,B < -1,Negative B,2.2779948796663985
mp-1214605,Ba6Dy2Ga4O15,2.99293957540348,-1.0308083907353514,Octahedron,1,4g,1,[0.566077801749236],0.0,0.566077801749236,A2B4C6D15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ba-Dy-Ga-O,0.0,-2.997786968271605,3.5896,4,Monoclinic,2/m,P2/c,oxide,,Ba,,,Ga,B,O,,,Dy,,B < -1,Negative B,2.278055645113623
mp-1214848,Ba3Dy(BO3)3,2.0538308903685105,0.299741758189569,Octahedron,1,"4b, 2a",2,"[0.253856416006896, 0.22644948412159502]",0.0,0.24015295006424553,AB3C3D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,B-Ba-Dy-O,0.0,-3.300701822656249,3.8533,4,Hexagonal,6mm,P6_3cm,orthoborate,,Ba,,,,B,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.262675260357262
mp-1214963,Ba2DyV3O11,1.3270632646682727,1.1931491631121942,Dodecahedron with triangular faces - p2345 plane normalized,1,4e,1,[2.283596892366472],0.0,2.283596892366472,AB2C3D11,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Dy-O-V,0.019624700147064,-3.004104715980393,3.4698,4,Monoclinic,2/m,P2_1/c,oxide,,Ba,V,,,B,O,,,Dy,,B > 1,Positive B,2.490939816745337
mp-1218420,Sr3DyMn2O8,2.1328682517185578,0.4166578153158354,Tricapped triangular prism (three square-face caps),1,1b,1,[3.962760375036754],0.0,3.962760375036754,AB2C3D8,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-Mn-O-Sr,0.029610139380977,-2.866890360537767,0.0,4,Orthorhombic,mm2,Amm2,oxide,,Sr,Mn,,,,"O, S",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.5762896428667665
mp-1221056,NaDyTi2O6,0.7784999914902822,1.7388263441335816,Square-face bicapped trigonal prism,1,2a,1,[2.601307590046262],0.0,2.601307590046262,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Dy-Na-O-Ti,0.010748494562593,-3.439443815971264,2.3542,4,Orthorhombic,mm2,Pmn2_1,oxide,Na,,Ti,,,,"N, O",,,Dy,,B > 1,Positive B,2.428697934151405
mp-1221061,NaDyIrO4,1.6785495395456866,0.7584686015680587,"Square-face capped trigonal prism, Tricapped triangular prism (three square-face caps)",2,"2e, 1b",2,"[0.8034781404269231, 0.6000811997667931]",0.0,0.7017796700968582,ABCD4,2,2,1,"[7.0, 9.0]","[7.0, 9.0]",8.0,7.0,9.0,8.0,7.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Dy-Ir-Na-O,0.036491897291667,-2.327569479482758,0.0,4,Orthorhombic,mm2,Amm2,oxide,Na,,Ir,,,,"N, O",I,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.4554772053733522
mp-1221081,NaDy3Ti2(SbO7)2,1.9379114659099568,0.4958347951855214,"Cube, Hexagonal bipyramid",2,"2e, 1c",2,"[2.348922241306528, 2.676201352576518]",0.0,2.5125617969415233,AB2C2D3E14,2,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Dy-Na-O-Sb-Ti,0.005044998863638,-3.142051489229361,2.468599999999999,5,Monoclinic,2/m,C2/m,oxide,Na,,Ti,,,Sb,"N, O, S",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.4485100230804413
mp-1221249,Na3DyTi2Nb2O12,0.4255062939135913,2.022114535580956,Square-face bicapped trigonal prism,1,1a,1,[2.511873133162495],0.0,2.511873133162495,AB2C2D3E12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Dy-Na-Nb-O-Ti,0.014311992916661,-3.133505881623563,2.6082,5,Triclinic,1,P1,oxide,Na,,"Ti, Nb",,,,"N, O",,,Dy,,B > 1,Positive B,2.40940464288868
mp-1223395,La5Dy3(CuO4)4,1.854337272609928,0.5687544852107422,Cube,1,"1a, 1b",2,"[0.353934181132569, 0.34905314380079505, 0.284907318985963]",0.0,0.32929821463977565,A3B4C5D16,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Cu-Dy-La-O,0.049491704910717,-2.909046976584814,0.0,4,Tetragonal,4mm,P4mm,oxide,,,Cu,,,,"C, O",,,"La, Dy",,"B $\in$ [0.5, 1]",Positive B,2.445682178299969
mp-1225109,DyY(FeO3)2,1.1759781007432424,1.3960294005794889,Square-face bicapped trigonal prism,1,2b,1,[1.788872075244854],0.0,1.788872075244854,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-Fe-O-Y,0.009121627937499,-2.834153474166665,0.004599999999999,4,Orthorhombic,mm2,Pmc2_1,oxide,,,"Fe, Y",,,,O,F,,Dy,,B > 1,Positive B,2.4560927056654207
