material_id,chem_formula,R$_0$,B,Ho_chemenv,num_Ho_chemenvs,Ho_wyckoff,num_Ho_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ho_sites,num_CN_env,num_charge_states,HoX_coordn,HoO_coordn,mean_coordn_Ho-X,min_coordn_Ho-X,max_coordn_Ho-X,mean_coordn_Ho-O,min_coordn_Ho-O,max_coordn_Ho-O,mean_Ho_charge,min_Ho_charge,max_Ho_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_HoO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1208845,Sr2HoBiO6,2.278753372116989,-0.03828029167124998,Octahedron,1,2d,1,[0.09581461083811801],0.0,0.09581461083811801,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",2.2521623508252353,GGA,Bi-Ho-O-Sr,0.0,-2.862831637999999,1.826799999999999,4,Monoclinic,2/m,P2_1/c,oxide,None,Sr,None,None,Bi,B,"H, O, S",None,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1209280,RbHo(MoO4)2,2.6532627613224014,-0.2088192065003563,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[1.485570186328122],0.0,1.485570186328122,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.417980810075439,GGA_U,Ho-Mo-O-Rb,0.026058514583334,-2.523747641041666,3.1313,4,Monoclinic,2/m,C2/c,oxide,Rb,None,Mo,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [-1, -0.1]",Negative B
mp-1209334,RbHo(WO4)2,2.2869843325961146,0.013639290821364284,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[2.108444057982727],0.0,2.108444057982727,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.2970566152412766,GGA_U,Ho-O-Rb-W,0.0,-2.671693730208332,3.4066,4,Monoclinic,2/m,C2/c,oxide,Rb,None,W,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1209471,RbHoP2O7,1.978367736116199,0.38141577960086775,Octahedron,1,4e,1,[0.314928250723774],0.0,0.314928250723774,ABC2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",2.2430302871374876,GGA,Ho-O-P-Rb,0.0,-3.148679183116881,4.9733,4,Monoclinic,2/m,P2_1/c,oxide,Rb,None,None,None,None,None,"H, O, P",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1209629,RbHo(MoO4)2,1.6464274919542288,0.7844204685600115,Square antiprism,1,4c,1,[1.099015278390964],0.0,1.099015278390964,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.394804901783786,GGA_U,Ho-Mo-O-Rb,0.0,-2.5498061556250002,3.6249000000000002,4,Orthorhombic,mmm,Pbcn,oxide,Rb,None,Mo,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1209645,Sr3Ho2(BO3)4,1.926674040713023,0.5305760813376335,"Square-face bicapped trigonal prism, Pentagonal bipyramid",2,4a,1,"[5.472965947441691, 3.53032321820088]",0.5,4.501644582821285,A2B3C4D12,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",2.40932398548663,GGA,B-Ho-O-Sr,0.027927584404757,-3.365546100198411,4.5049,4,Orthorhombic,mm2,Pna2_1,orthoborate,None,Sr,None,None,None,B,"H, O, S",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1210234,Na4Ho2(IrO4)3,1.341885381579792,1.0035278447783895,Tricapped triangular prism (three square-face caps),1,2d,1,[0.90955514191229],0.0,0.90955514191229,A2B3C4D12,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",2.464308998889614,GGA,Ho-Ir-Na-O,0.0,-2.110721856453202,0.0,4,Hexagonal,-6m2,P-62m,oxide,Na,None,Ir,None,None,None,"H, N, O",I,None,Ho,None,B > 1,Positive B
mp-1210516,Na2HoTa5O15,2.0297189313690733,0.4267606977704242,Cuboctahedron,1,2b,1,[0.182973719282975],0.0,0.182973719282975,AB2C5D15,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.6239325645620775,GGA,Ho-Na-O-Ta,0.048570224565214,-3.105479686811592,2.623599999999999,4,Tetragonal,4/mmm,P4/mbm,oxide,Na,None,Ta,None,None,None,"H, N, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1211170,LiHo6B3O14,1.9592062542006612,0.4659629669757212,"Cube, Face-capped octahedron, Square-face capped trigonal prism",3,4e,1,"[2.855437074475733, 5.361182723858634, 3.442655693426126, 2.728770446254139, 2.294588240058601, 2.867780756420027]",0.167,3.25840248908221,AB3C6D14,3,3,1,"[6.0, 7.0, 8.0]","[6.0, 7.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",2.3596479676622786,GGA,B-Ho-Li-O,0.014842464652776001,-3.60867711315972,4.7947,4,Monoclinic,2/m,P2_1/c,oxide,Li,None,None,None,None,B,"H, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1211201,Na3Ho(PO4)2,2.315380082136781,0.07330007785169204,Square-face bicapped trigonal prism,1,4a,1,"[3.250594373700827, 3.454736414421113]",0.0,3.35266539406097,AB2C3D8,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",2.3777990691935846,GGA,Ho-Na-O-P,0.0,-2.945205605423116,4.9965,4,Orthorhombic,mm2,Pca2_1,phosphate,Na,None,None,None,None,None,"H, N, O, P",None,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1211449,KHo(MoO4)2,2.6322385290276324,-0.20068885098893302,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[1.451734522238086],0.0,1.451734522238086,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.4051201206942627,GGA_U,Ho-K-Mo-O,0.014135289375001001,-2.532996159354166,3.2092,4,Monoclinic,2/m,C2/c,oxide,K,None,Mo,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [-1, -0.1]",Negative B
mp-1211556,KHo(MoO4)2,1.7988173665021399,0.6156377025581273,Square antiprism,1,4c,1,[1.071797857641009],0.0,1.071797857641009,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.3869690870169724,GGA_U,Ho-K-Mo-O,0.0,-2.547131448729166,3.5792,4,Orthorhombic,mmm,Pbcn,oxide,K,None,Mo,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1211688,KLiHo2(MoO4)4,2.113173821626417,0.31514873183115005,Dodecahedron with triangular faces - p2345 plane normalized,1,4f,1,[2.157724533974427],0.0,2.157724533974427,ABC2D4E16,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.398752917607923,GGA_U,Ho-K-Li-Mo-O,0.018801412708358,-2.527140916690972,3.226,5,Monoclinic,2/m,C2/c,oxide,"Li, K",None,Mo,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1211920,Ho2NiRuO6,0.7187647500173137,1.9220234745563771,Square-face bicapped trigonal prism,1,4e,1,[1.440633975789337],0.0,1.440633975789337,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.4309898882991066,GGA_U,Ho-Ni-O-Ru,0.038601930874996006,-2.656093420999998,0.0,4,Monoclinic,2/m,P2_1/c,oxide,None,None,"Ni, Ru",None,None,None,"H, N, O",None,None,Ho,None,B > 1,Positive B
mp-1212080,HoTiClO3,1.8408986319580531,0.5538138749791379,Face-capped octahedron,1,2i,1,[2.909609032982095],0.0,2.909609032982095,ABCD3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",2.2476295826088712,GGA,Cl-Ho-O-Ti,0.0,-3.539192946388887,3.122999999999999,4,Monoclinic,2/m,C2/m,chlorate,None,None,Ti,None,None,None,"H, C, O",Cl,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1212108,HoRhO3,0.7587211098684398,1.8246322882724286,Square-face bicapped trigonal prism,1,4c,1,[1.062295427161784],0.0,1.062295427161784,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.3971905105086697,r2SCAN,Ho-O-Rh,0.0,-2.587439952000004,0.9605999999999991,3,Orthorhombic,mmm,Pnma,oxide,None,None,Rh,None,None,None,"H, O",None,None,Ho,None,B > 1,Positive B
mp-1212131,HoTl(WO4)2,2.289523834331652,0.010394671079098047,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[1.953198230097157],0.0,1.953198230097157,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",2.2972033233236457,GGA_U,Ho-O-Tl-W,0.0,-2.506112064027777,2.9276,4,Monoclinic,2/m,C2/c,oxide,None,None,W,None,Tl,None,"H, O",None,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1212152,HoMg(BO2)5,1.7425157957772093,0.6441311412221405,Square-face bicapped square antiprism,1,4e,1,[4.151502343949363],0.0,4.151502343949363,ABC5D10,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",2.5230067836205707,GGA,B-Ho-Mg-O,0.011916517720582002,-3.100897971666667,6.137099999999999,4,Monoclinic,2/m,P2_1/c,metaborate,None,Mg,None,None,None,B,"H, O",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1212155,HoCrGeO5,2.3649453667173597,0.11611933838172779,Square-face bicapped trigonal prism,1,4h,1,[2.709636056714783],0.0,2.709636056714783,ABCD5,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",2.4293469993924646,GGA_U,Cr-Ge-Ho-O,0.026924965312499,-2.835782280624999,2.9071,4,Orthorhombic,mmm,Pbam,oxide,None,None,Cr,None,None,Ge,"H, C, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1212201,HoAg(WO4)2,2.423617680479008,-0.03521305419032705,Square antiprism,1,2g,1,[1.227052904685329],0.0,1.227052904685329,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.386340019211073,GGA_U,Ag-Ho-O-W,0.0020856016145840003,-2.376832600972221,3.1615,4,Monoclinic,2/m,C2/m,oxide,None,None,"Ag, W",None,None,None,"H, O",None,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1212243,HoTl(MoO4)2,1.7314093457866602,0.6973654981533945,Square antiprism,1,4c,1,[1.038039229085506],0.0,1.038039229085506,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",2.395385824602628,GGA_U,Ho-Mo-O-Tl,0.0,-2.378023333402778,3.291,4,Orthorhombic,mmm,Pbcn,oxide,None,None,Mo,None,Tl,None,"H, O",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1212288,HoSbO4,1.8661614102249036,0.5835066861622245,"Square-face capped trigonal prism, Square antiprism",2,2i,1,"[3.860906743323602, 3.721471908098085]",0.0,3.7911893257108433,ABC4,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",2.363725455875484,r2SCAN,Ho-O-Sb,0.0,-2.8697081895833323,2.3323,3,Triclinic,-1,P-1,oxide,None,None,None,None,None,Sb,"H, O, S",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1212301,Ho3SbO7,1.982718278167053,0.46816255585739575,"Cube, Pentagonal bipyramid",2,"2a, 4c",2,"[3.843694471529213, 1.155419017425634]",0.0,2.499556744477424,AB3C7,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",2.389561105701331,GGA,Ho-O-Sb,0.0,-3.434945239545453,2.7558,3,Orthorhombic,222,C222_1,oxide,None,None,None,None,None,Sb,"H, O, S",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1212327,Ho4Al2O9,2.050545780094926,0.3856925341960932,"Face-capped octahedron, Square-face capped trigonal prism, Octahedron",3,4e,1,"[2.77473739838884, 3.650455853545654, 4.225754483791185, 3.390649583863148]",0.0,3.510399329897207,A2B4C9,3,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",2.3637131387002603,GGA,Al-Ho-O,0.019374821183333002,-3.8353084804999993,3.965899999999999,3,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,Al,None,"H, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1212333,Ho2MgTiO6,0.6252870913194636,2.0374357822889775,Square-face bicapped trigonal prism,1,4e,1,[1.827489464909859],0.0,1.827489464909859,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.4476765560458595,GGA,Ho-Mg-O-Ti,0.016240227000000003,-3.7038290858333323,3.226199999999999,4,Monoclinic,2/m,P2_1/c,oxide,None,Mg,Ti,None,None,None,"H, O",None,None,Ho,None,B > 1,Positive B
mp-1212340,Ho2MnNiO6,0.8312098497146534,1.7771580456620888,Square-face bicapped trigonal prism,1,4e,1,[1.7334248009394941],0.0,1.7334248009394941,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.424891951805477,GGA_U,Ho-Mn-Ni-O,0.0,-2.8608171287931032,1.8696000000000002,4,Monoclinic,2/m,P2_1/c,oxide,None,None,"Mn, Ni",None,None,None,"H, N, O",None,None,Ho,None,B > 1,Positive B
mp-1212356,Ho2CoPtO6,0.6797361378440703,1.9732229619420305,Square-face bicapped trigonal prism,1,4e,1,[1.399903320683314],0.0,1.399903320683314,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.4449179747689125,GGA_U,Co-Ho-O-Pt,0.038259854437497,-2.5796776335000002,1.7584,4,Monoclinic,2/m,P2_1/c,oxide,None,None,"Co, Pt",None,None,None,"H, C, O, P",None,None,Ho,None,B > 1,Positive B
mp-1212368,Ho2Be2GeO7,1.9929886723581576,0.46367900741810547,Square antiprism,1,4e,1,[1.263244350871581],0.0,1.263244350871581,AB2C2D7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",2.422955228063259,GGA,Be-Ge-Ho-O,0.001354883072917,-3.287437647499999,4.4313,4,Tetragonal,-42m,P-42_1m,oxide,None,Be,None,None,None,"B, Ge","H, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1212369,Ho2Cu(SiO3)4,1.6169171101653312,0.8471488742827011,Pentagonal bipyramid,1,2i,1,[3.637422369972085],0.0,3.637422369972085,AB2C4D12,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",2.3491875535373525,GGA,Cu-Ho-O-Si,0.017961958157894,-3.072040373464906,0.7784000000000001,4,Triclinic,-1,P-1,oxide,None,None,Cu,None,None,Si,"H, C, O, S",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1212381,Ho2(MoO4)3,2.0583880381052575,0.27771524240338175,Square-face capped trigonal prism,1,4e,1,[2.810258739067032],0.0,2.810258739067032,A2B3C12,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.2974885309682316,r2SCAN,Ho-Mo-O,0.0,-2.656624027058823,3.5751,3,Tetragonal,-42m,P-42_1m,oxide,None,None,Mo,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1212393,Ho2Cu(GeO4)2,1.8708988348433553,0.5565026746207792,Square antiprism,1,2b,1,"[2.164394621653804, 1.8450057627531171]",0.0,2.004700192203461,AB2C2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",2.4293519698556683,GGA,Cu-Ge-Ho-O,0.04411683269230501,-2.714034473076921,0.6806000000000001,4,Monoclinic,m,Cm,oxide,None,None,Cu,None,None,Ge,"H, C, O",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1212595,Ho2Hf2(MoO4)7,1.9817622863060655,0.39137413214260913,Square-face bicapped trigonal prism,1,4f,1,[0.9747122993861911],0.0,0.9747122993861911,A2B2C7D28,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.367508951456034,GGA_U,Hf-Ho-Mo-O,0.0,-2.586019559487179,3.1817,4,Monoclinic,2/m,C2/c,oxide,None,None,"Mo, Hf",None,None,None,"H, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1212724,Ho2Cu(WO4)4,2.37689974767191,-0.05840645778987974,Square-face capped trigonal prism,1,4f,1,[2.5547442026739633],0.0,2.5547442026739633,AB2C4D16,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.320360032152415,GGA_U,Cu-Ho-O-W,0.036295444510875005,-2.486866519565216,0.0,4,Monoclinic,2/m,C2/c,oxide,None,None,"Cu, W",None,None,None,"H, C, O",None,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1213191,CsHo(WO4)2,2.312322116817996,0.00828065593278864,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[2.312454624699649],0.0,2.312454624699649,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.3183717474582974,GGA_U,Cs-Ho-O-W,0.0,-2.644048072054596,3.4351000000000003,4,Monoclinic,2/m,C2/c,oxide,Cs,None,W,None,None,None,"H, C, O",None,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1213347,CsHo(MoO4)2,1.7528235221396398,0.6393057515127115,Square antiprism,1,2e,1,[0.8802992909028181],0.0,0.8802992909028181,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.387531618556949,GGA_U,Cs-Ho-Mo-O,0.0,-2.552484682054598,3.540899999999999,4,Monoclinic,2/m,P2/c,oxide,Cs,None,Mo,None,None,None,"H, C, O",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1213413,CsHo(MoO4)2,1.7817210813091453,0.6074633811515877,Square antiprism,1,2e,1,[0.8548220868867831],0.0,0.8548220868867831,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.3860944587318977,GGA_U,Cs-Ho-Mo-O,0.005926630416666001,-2.5465580516379323,3.6087,4,Orthorhombic,mmm,Pccm,oxide,Cs,None,Mo,None,None,None,"H, C, O",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1214508,Ba5Ho2ZrAl2O13,2.0431688080816848,0.29572973341692077,Octahedron,1,4f,1,[0.10450403523666801],0.0,0.10450403523666801,AB2C2D5E13,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",2.2486511127167814,GGA,Al-Ba-Ho-O-Zr,0.0,-3.4841228045652173,2.5553,5,Hexagonal,6/mmm,P6_3/mmc,oxide,None,Ba,Zr,None,Al,B,"H, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1214596,Ba6Ho2Ga4O15,3.0220847194208944,-1.0859013167395712,Octahedron,1,4g,1,[0.5862462543500261],0.0,0.5862462543500261,A2B4C6D15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",2.268981560997022,GGA,Ba-Ga-Ho-O,0.0,-3.001995227962963,3.553099999999999,4,Monoclinic,2/m,P2/c,oxide,None,Ba,None,None,Ga,B,"H, O",None,None,Ho,None,B < -1,Negative B
mp-1214783,Ba2Ho2CuPtO8,0.4492251409549174,2.244641060120327,Square-face capped trigonal prism,1,4c,1,"[2.362393556442006, 2.149266434820168]",0.0,2.255829995631087,ABC2D2E8,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",2.3339656500467467,GGA,Ba-Cu-Ho-O-Pt,0.013554089553580001,-2.68361437642857,0.2622,5,Orthorhombic,mmm,Pnma,oxide,None,Ba,"Cu, Pt",None,None,B,"H, C, O, P",None,None,Ho,None,B > 1,Positive B
mp-1214969,Ba2HoV3O11,1.2884412480023713,1.2216658727948595,Dodecahedron with triangular faces - p2345 plane normalized,1,4e,1,[2.229021428282343],0.0,2.229021428282343,AB2C3D11,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",2.479452664893836,GGA_U,Ba-Ho-O-V,0.019550818823532,-3.004121803676472,3.4518,4,Monoclinic,2/m,P2_1/c,oxide,None,Ba,V,None,None,B,"H, O",None,None,Ho,None,B > 1,Positive B
mp-12160,Li6Ho(BO3)3,2.0482708429754233,0.3690172638800866,Dodecahedron with triangular faces - p2345 plane normalized,1,4e,1,[3.383354515259996],0.0,3.383354515259996,AB3C6D9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",2.388587466848346,GGA,B-Ho-Li-O,0.0,-2.822621197631578,4.7449,4,Monoclinic,2/m,P2_1/c,orthoborate,Li,None,None,None,None,B,"H, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1216291,Y3HoFe4(Ge2O7)4,1.7260959789568822,0.8180464209777469,Square-face capped trigonal prism,1,1a,1,[5.080989825196756],1.0,5.080989825196756,AB3C4D8E28,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",2.2957279054881803,GGA_U,Fe-Ge-Ho-O-Y,0.036749610738639006,-2.470907364204545,2.643199999999999,5,Triclinic,1,P1,oxide,None,None,"Fe, Y",None,None,Ge,"H, O",F,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1218261,SrHoMn2O6,1.0515841633630234,1.0204766734529525,Square antiprism,1,2a,1,[3.311151908589611],0.0,3.311151908589611,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.452797204420447,GGA_U,Ho-Mn-O-Sr,0.033360012250009,-2.750531710086206,0.0,4,Orthorhombic,mm2,Pmn2_1,oxide,None,Sr,Mn,None,None,None,"H, O, S",None,None,Ho,None,B > 1,Positive B
